Group,Station,Depth cm,FeOC (%),fFeOC (%),FeR (mg/g),OC:FeR (molar ratio),δ¹³CFeOC (‰)
Early-stage seep 22,QDN-W07,1.00,0.27,11.46,2.26,5.52,-48.08
Early-stage seep 22,QDN-W07,3.00,0.22,15.10,2.02,5.12,-40.83
Early-stage seep 22,QDN-W07,6.00,0.19,13.97,2.25,4.01,-39.00
Early-stage seep 22,QDN-W07,9.00,0.19,12.58,2.08,4.30,-38.64
Early-stage seep 22,QDN-W07,12.00,0.19,13.53,2.03,4.25,-34.17
Early-stage seep 22,QDN-W07,16.00,0.14,12.37,2.05,3.21,-28.19
Early-stage seep 22,QDN-W07,28.00,0.12,13.33,2.10,2.56,-23.94
Early-stage seep 23,QDN-W07,1.00,0.18,12.16,3.20,2.66,-39.26
Early-stage seep 23,QDN-W07,3.00,0.15,14.15,3.05,2.36,-28.64
Early-stage seep 23,QDN-W07,6.00,0.17,19.93,3.42,2.30,-26.57
Early-stage seep 23,QDN-W07,9.00,0.22,17.11,3.10,3.28,-33.42
Early-stage seep 23,QDN-W07,12.00,0.15,16.09,3.59,1.89,-25.12
Early-stage seep 23,QDN-W07,20.00,0.16,18.42,2.13,3.54,-29.18
Early-stage seep 23,QDN-W07,28.00,0.14,16.47,1.86,3.59,-26.10
Early-stage seep 24,QDN-W07,1.00,0.15,15.27,1.86,3.70,-27.91
Early-stage seep 24,QDN-W07,3.00,0.14,13.96,1.67,3.81,-26.36
Early-stage seep 24,QDN-W07,6.00,0.18,18.76,1.72,5.01,-26.87
Early-stage seep 24,QDN-W07,9.00,0.13,13.16,1.81,3.28,-26.43
Early-stage seep 24,QDN-W07,12.00,0.08,6.57,1.88,1.88,-26.37
Early-stage seep 24,QDN-W07,16.00,0.12,11.94,1.99,2.73,-27.07
Early-stage seep 24,QDN-W07,25.00,0.16,13.35,2.35,3.14,-27.64
Mature seep 1,QDN-S18,1.00,0.11,12.40,0.79,6.40,-24.97
Mature seep 1,QDN-S18,3.00,0.09,8.96,0.83,4.76,-23.53
Mature seep 1,QDN-S18,6.00,0.07,7.90,1.23,2.81,-25.34
Mature seep 1,QDN-S18,9.00,0.13,14.76,0.88,6.89,-24.10
Mature seep 1,QDN-S18,12.00,0.11,11.83,0.88,5.95,-24.05
Mature seep 1,QDN-S18,16.00,0.13,14.18,2.40,2.46,-23.43
Mature seep 1,QDN-S18,20.00,0.15,16.23,3.47,2.01,-24.53
Mature seep 2,HM-S4,1.00,0.13,7.91,1.24,4.87,-30.30
Mature seep 2,HM-S4,3.00,0.11,6.58,1.29,3.98,-31.52
Mature seep 2,HM-S4,6.00,0.13,8.36,1.04,5.86,-28.45
Mature seep 2,HM-S4,9.00,0.09,7.09,0.94,4.63,-29.64
Mature seep 2,HM-S4,12.00,0.11,9.08,0.71,7.37,-29.94
Mature seep 2,HM-S4,16.00,0.09,7.39,0.69,5.80,-29.87
Mature seep 2,HM-S4,20.00,0.07,7.68,0.61,5.43,-24.64
Non-seep 1,Non-seep 1,1.00,0.10,15.83,3.31,1.40,-19.48
Non-seep 1,Non-seep 1,3.00,0.10,14.46,2.60,1.81,-20.58
Non-seep 1,Non-seep 1,6.00,0.07,13.55,2.04,1.66,-20.73
Non-seep 1,Non-seep 1,9.00,0.11,14.85,2.35,2.20,-20.45
Non-seep 1,Non-seep 1,12.00,0.11,14.51,1.75,2.93,-20.54
Non-seep 1,Non-seep 1,20.00,0.08,11.42,1.74,2.14,-20.24
Non-seep 1,Non-seep 1,28.00,0.11,17.43,1.67,3.15,-20.54
Non-seep 2,Non-seep 2,1.00,0.11,15.62,3.90,1.28,-19.02
Non-seep 2,Non-seep 2,3.00,0.13,18.16,3.29,1.87,-20.03
Non-seep 2,Non-seep 2,6.00,0.14,19.22,3.21,1.99,-20.04
Non-seep 2,Non-seep 2,9.00,0.14,18.53,3.57,1.88,-20.75
Non-seep 2,Non-seep 2,12.00,0.13,17.85,2.32,2.67,-20.57
Non-seep 2,Non-seep 2,16.00,0.12,15.34,1.86,2.96,-20.23
