Sample location,Group,"Depth
(cm)","fFe-OM
(%)","FeR
(mg/g)",OC:FeR (molar ratio),"FeOC
(%)","TOC
(%)",Reference
Madeira turbidite,Continental Slope,surface,29.76 ,1.31 ,9.56 ,0.27 ,0.90 ,"Lalonde et al., 2012"
Mexican margin site 305,Continental Slope,0-0.5,12.70 ,4.68 ,3.20 ,0.32 ,2.53 ,"Lalonde et al., 2012"
Mexican margin site 305,Continental Slope,4-5,9.10 ,3.78 ,2.76 ,0.22 ,2.46 ,"Lalonde et al., 2012"
Mexican margin site 305,Continental Slope,22-27,13.00 ,1.07 ,14.48 ,0.33 ,2.55 ,"Lalonde et al., 2012"
Mexican margin site 304,Continental Slope,0-0.5,30.03 ,5.80 ,5.12 ,0.64 ,2.12 ,"Lalonde et al., 2012"
Mexican margin site 304,Continental Slope,5-6,22.31 ,6.02 ,3.55 ,0.46 ,2.06 ,"Lalonde et al., 2012"
Mexican margin site 304,Continental Slope,19-22,19.65 ,2.51 ,7.94 ,0.43 ,2.18 ,"Lalonde et al., 2012"
Mexican margin site 303,Continental Slope,0-0.5,18.71 ,9.22 ,1.18 ,0.23 ,1.24 ,"Lalonde et al., 2012"
Mexican margin site 303,Continental Slope,14-16,7.79 ,5.23 ,0.86 ,0.10 ,1.23 ,"Lalonde et al., 2012"
Mexican margin site 303,Continental Slope,22-27,12.20 ,2.18 ,3.62 ,0.17 ,1.39 ,"Lalonde et al., 2012"
QDN-G1,Continental Slope,0,16.9,2.1,2.8,0.12,0.73,"Chen et al., 2024"
QDN-14B,Continental Slope,10,19.8,1.5,4.4,0.14,0.71,"Chen et al., 2024"
QDN-14B,Continental Slope,15,12.0,1.5,2.9,0.09,0.75,"Chen et al., 2024"
Southern Ocean,Pelagic,8-12,29.00,1.38,4.40,0.13,0.45,"Lalonde et al., 2012"
Station M,Pelagic,0-1,17.13,3.67,2.89,0.23,1.33,"Lalonde et al., 2012"
Station M,Pelagic,15-20,11.39,2.17,2.73,0.13,1.11,"Lalonde et al., 2012"
Equatorial Pacific Ocean 0N,Pelagic,0-0.5,34.79,1.76,2.49,0.09,0.27,"Lalonde et al., 2012"
Equatorial Pacific Ocean 9N,Pelagic,10-12,12.16,4.64,0.39,0.04,0.30,"Lalonde et al., 2012"
OT-8,Pelagic,13,11.00,0.44,14.00,0.13,1.20,"Sun et al., 2020"
PC01-20,Mature Cold Seep,20,20.40,2.40,4.80,0.24,1.20,"Hu et al., 2025"
S05-0,Continental Slope,0,14.80,5.10,1.30,0.14,0.96,"Hu et al., 2025"
ROV5-4-6,Mature Cold Seep,4-6,26.80,2.00,5.20,0.22,0.82,"Hu et al., 2025"
ROV5-8-10,Mature Cold Seep,8-10,18.50,1.50,3.90,0.13,0.70,"Hu et al., 2025"
ROV5-12-14,Mature Cold Seep,12-14,31.10,1.70,8.00,0.28,0.91,"Hu et al., 2025"
ROV5-16-18,Mature Cold Seep,16-18,16.50,1.90,4.80,0.19,1.17,"Hu et al., 2025"
ROV5-20-22,Mature Cold Seep,20-22,11.50,1.40,3.70,0.11,0.95,"Hu et al., 2025"
ROV5-24-26,Mature Cold Seep,24-26,20.70,1.50,6.30,0.21,1.00,"Hu et al., 2025"
ROV5-28-30,Mature Cold Seep,28-30,17.70,1.60,5.20,0.18,1.01,"Hu et al., 2025"
